rank,cluster,risk_tier,risk_score,top_junction,violation_count,avg_priority,peak_hour,peak_day_name,peak_weekend_frac,top_vehicle,center_lat,center_lon,recommended_action,display_name
11,73,🔴 CRITICAL,7.75,No Junction,751,3.2157123834886816,7,Fri,0.2490013315579227,CAR,13.06329792463382,77.58955219680426,Deploy 2+ units Fris 7:00–9:00. Priority tow zone. Focus: CAR.,Kodigehalli — Road Segment
12,59,🔴 CRITICAL,7.75,"BTP226 - 33rd Cross, 11th Main, Jayanagar",552,3.3442028985507246,4,Sun,0.4257246376811594,CAR,12.927465517753625,77.58599906576086,Deploy 2+ units Suns 4:00–6:00. Priority tow zone. Focus: CAR.,"33rd Cross, 11th Main, Jayanagar"
13,121,🔴 CRITICAL,7.7,No Junction,2041,3.8392944634982857,19,Tue,0.1401273885350318,PASSENGER AUTO,13.000350793783474,77.67693095074247,Deploy 2+ units Tues 19:00–21:00. Priority tow zone. Focus: PASSENGER AUTO.,Mahadevapura — Road Segment
14,270,🔴 CRITICAL,7.7,"BTP089 - Police Quarters, Sultan Road",50,5.47,19,Thu,0.44,LGV,12.960322654,77.562641544,Deploy 2+ units Thus 19:00–21:00. Priority tow zone. Focus: LGV.,"Police Quarters, Sultan Road"
15,193,🔴 CRITICAL,7.68,BTP041 - Gopal Gowda Circle,155,2.935483870967742,20,Sun,0.6516129032258065,SCOOTER,12.977458990967742,77.59108022000001,Deploy 2+ units Suns 20:00–22:00. Priority tow zone. Focus: SCOOTER.,Gopal Gowda Circle
16,229,🔴 CRITICAL,7.67,No Junction,268,4.574626865671642,19,Sat,0.3694029850746269,CAR,13.121691096455224,77.6310843669776,Deploy 2+ units Sats 19:00–21:00. Priority tow zone. Focus: CAR.,Chikkajala — Road Segment
17,88,🔴 CRITICAL,7.62,No Junction,1966,5.03763987792472,4,Fri,0.2756866734486266,PASSENGER AUTO,12.99626231577146,77.66856002457625,Deploy 2+ units Fris 4:00–6:00. Priority tow zone. Focus: PASSENGER AUTO.,Mahadevapura — Road Segment
18,92,🔴 CRITICAL,7.61,No Junction,935,3.806951871657754,20,Sun,0.3550802139037433,CAR,13.191256831315508,77.64623337951872,Deploy 2+ units Suns 20:00–22:00. Priority tow zone. Focus: CAR.,Chikkajala — Road Segment
19,155,🔴 CRITICAL,7.58,"BTP170 - Dr. Bheem Rao Palace, Chord Road",647,2.839258114374034,4,Tue,0.3153013910355486,CAR,12.988668436589052,77.55016418392562,Deploy 2+ units Tues 4:00–6:00. Priority tow zone. Focus: CAR.,"Dr. Bheem Rao Palace, Chord Road"
20,36,🔴 CRITICAL,7.57,BTP104 - Medical College Circle,2444,2.4034369885433717,6,Wed,0.3269230769230769,SCOOTER,12.95947365638298,77.57708121297054,Deploy 2+ units Weds 6:00–8:00. Priority tow zone. Focus: SCOOTER.,Medical College Circle
21,1,🔴 CRITICAL,7.55,BTP082 - KR Market Junction,55527,2.3481189331316297,3,Sun,0.3278225007653934,SCOOTER,12.972560405757417,77.57758053136375,Deploy 2+ units Suns 3:00–5:00. Priority tow zone. Focus: SCOOTER.,KR Market Junction
22,23,🔴 CRITICAL,7.54,No Junction,4638,3.2028891763691245,23,Fri,0.2813712807244501,CAR,13.185397450105649,77.68001840500862,Deploy 2+ units Fris 23:00–25:00. Priority tow zone. Focus: CAR.,Chikkajala — Road Segment
23,17,🔴 CRITICAL,7.53,No Junction,1964,2.689663951120163,7,Sun,0.4562118126272912,SCOOTER,12.841908540358864,77.64580244145084,Deploy 2+ units Suns 7:00–9:00. Priority tow zone. Focus: SCOOTER.,Electronic City — Road Segment
24,35,🔴 CRITICAL,7.52,BTP211 - Central Street Junction,5426,2.388407666789532,4,Sun,0.342056763730188,PASSENGER AUTO,12.983591252232417,77.60355235222792,Deploy 2+ units Suns 4:00–6:00. Priority tow zone. Focus: PASSENGER AUTO.,Central Street Junction
25,102,🔴 CRITICAL,7.51,BTP135 - UCO Bank Junction,1148,2.436411149825784,4,Sun,0.4172473867595819,SCOOTER,12.935692348083624,77.61580879102787,Deploy 2+ units Suns 4:00–6:00. Priority tow zone. Focus: SCOOTER.,UCO Bank Junction
26,287,🔴 CRITICAL,7.5,BTP135 - UCO Bank Junction,98,3.306122448979592,5,Sat,0.6224489795918368,CAR,12.934314786734694,77.61256878775511,Deploy 2+ units Sats 5:00–7:00. Priority tow zone. Focus: CAR.,UCO Bank Junction
27,364,🔴 CRITICAL,7.49,No Junction,946,4.193974630021142,2,Sun,0.5507399577167019,CAR,12.970565333695072,77.64663244968831,Deploy 2+ units Suns 2:00–4:00. Priority tow zone. Focus: CAR.,Jeevanbheemanagar — Road Segment
28,440,🔴 CRITICAL,7.48,BTP203 - RRMR Junction,43,4.523255813953488,17,Sun,0.6976744186046512,SCOOTER,12.967945916279067,77.59237445581395,Deploy 2+ units Suns 17:00–19:00. Priority tow zone. Focus: SCOOTER.,RRMR Junction
29,86,🔴 CRITICAL,7.47,No Junction,1153,3.0013009540329576,7,Tue,0.3321769297484822,SCOOTER,12.906535253380037,77.62995046068207,Deploy 2+ units Tues 7:00–9:00. Priority tow zone. Focus: SCOOTER.,HSR Layout — Road Segment
30,194,🔴 CRITICAL,7.46,BTP010 - Rajajinagar Entrance,462,2.6201298701298703,23,Tue,0.29004329004329,SCOOTER,12.980726698474536,77.55820899319681,Deploy 2+ units Tues 23:00–25:00. Priority tow zone. Focus: SCOOTER.,Rajajinagar Entrance
31,41,🔴 CRITICAL,7.39,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",1410,2.346099290780142,21,Wed,0.2489361702127659,CAR,12.99315586984428,77.55347891502498,Deploy 2+ units Weds 21:00–23:00. Priority tow zone. Focus: CAR.,"RR Kalyana Mantapa, Dr. Rajkumar Road"
32,697,🔴 CRITICAL,7.37,BTP135 - UCO Bank Junction,75,3.6533333333333338,6,Mon,0.4266666666666667,SCOOTER,12.935512393333331,77.61164169733334,Deploy 2+ units Mons 6:00–8:00. Priority tow zone. Focus: SCOOTER.,UCO Bank Junction
33,245,🔴 CRITICAL,7.37,No Junction,385,5.244155844155844,3,Thu,0.2623376623376623,SCOOTER,12.951419125192766,77.71749728764328,Deploy 2+ units Thus 3:00–5:00. Priority tow zone. Focus: SCOOTER.,Whitefield — Road Segment
34,77,🔴 CRITICAL,7.37,BTP208 - Havanur Circle,800,2.445,5,Sat,0.29,CAR,12.988080997306009,77.53757522537241,Deploy 2+ units Sats 5:00–7:00. Priority tow zone. Focus: CAR.,Havanur Circle
35,72,🔴 CRITICAL,7.35,No Junction,1357,4.37656595431098,22,Mon,0.1201179071481208,CAR,12.950257254922825,77.69969314995544,Deploy 2+ units Mons 22:00–24:00. Priority tow zone. Focus: CAR.,HAL Old Airport — Road Segment
36,558,🔴 CRITICAL,7.34,No Junction,77,4.590909090909091,19,Sun,0.4025974025974026,PASSENGER AUTO,13.030008816883116,77.53821091948052,Deploy 2+ units Suns 19:00–21:00. Priority tow zone. Focus: PASSENGER AUTO.,Yeshwanthpura — Road Segment
37,452,🔴 CRITICAL,7.33,BTP063 - Siddalingaiah Circle,55,2.8545454545454545,20,Sat,0.4181818181818181,SCOOTER,12.972264065454546,77.59389987454546,Deploy 2+ units Sats 20:00–22:00. Priority tow zone. Focus: SCOOTER.,Siddalingaiah Circle
38,189,🔴 CRITICAL,7.31,BTP137 - Madiwala Traffic PS Junction,533,2.331144465290807,4,Mon,0.1894934333958724,CAR,12.92520081423494,77.61895558249483,Deploy 2+ units Mons 4:00–6:00. Priority tow zone. Focus: CAR.,Madiwala Traffic PS Junction
39,124,🔴 CRITICAL,7.28,No Junction,751,2.631824234354194,20,Tue,0.2503328894806924,SCOOTER,13.097109692143809,77.59949983075899,Deploy 2+ units Tues 20:00–22:00. Priority tow zone. Focus: SCOOTER.,Yelahanka — Road Segment
40,68,🔴 CRITICAL,7.28,No Junction,587,6.887563884156729,6,Tue,0.059625212947189,MOTOR CYCLE,12.987605522146508,77.7346803528109,Deploy 2+ units Tues 6:00–8:00. Priority tow zone. Focus: MOTOR CYCLE.,Mahadevapura — Road Segment
41,112,🔴 CRITICAL,7.27,BTP108 - Tagore Park Junction,1964,2.324338085539715,5,Sun,0.3177189409368635,SCOOTER,12.94409996898337,77.57109654639922,Deploy 2+ units Suns 5:00–7:00. Priority tow zone. Focus: SCOOTER.,Tagore Park Junction
42,21,🔴 CRITICAL,7.25,No Junction,780,2.741025641025641,20,Wed,0.2564102564102564,CAR,12.892371388881967,77.63772989895978,Deploy 2+ units Weds 20:00–22:00. Priority tow zone. Focus: CAR.,Hulimavu — Road Segment
43,20,🔴 CRITICAL,7.2,No Junction,1360,3.580514705882353,5,Sun,0.6772058823529412,PASSENGER AUTO,12.995512193869844,77.69580960836826,Deploy 2+ units Suns 5:00–7:00. Priority tow zone. Focus: PASSENGER AUTO.,Mahadevapura — Road Segment
44,8,🔴 CRITICAL,7.19,No Junction,1122,2.5463458110516934,8,Sun,0.4090909090909091,SCOOTER,12.91248429199305,77.63472577393155,Deploy 2+ units Suns 8:00–10:00. Priority tow zone. Focus: SCOOTER.,HSR Layout — Road Segment
45,175,🔴 CRITICAL,7.19,No Junction,1250,2.88,6,Sun,0.356,SCOOTER,12.972012915537816,77.6070674286342,Deploy 2+ units Suns 6:00–8:00. Priority tow zone. Focus: SCOOTER.,Ashok Nagar — Road Segment
46,195,🔴 CRITICAL,7.19,BTP041 - Gopal Gowda Circle,259,2.4382239382239383,21,Sun,0.7374517374517374,CAR,12.97684080888031,77.58908344362933,Deploy 2+ units Suns 21:00–23:00. Priority tow zone. Focus: CAR.,Gopal Gowda Circle
47,306,🔴 CRITICAL,7.19,BTP106 - VV Puram College,85,2.6,8,Sun,0.5764705882352941,CAR,12.951771648496972,77.57692350341176,Deploy 2+ units Suns 8:00–10:00. Priority tow zone. Focus: CAR.,VV Puram College
48,0,🔴 CRITICAL,7.18,No Junction,476,3.273109243697479,6,Thu,0.3571428571428571,SCOOTER,12.957303344537817,77.51880455294118,Deploy 2+ units Thus 6:00–8:00. Priority tow zone. Focus: SCOOTER.,Byatarayanapura — Road Segment
49,15,🔴 CRITICAL,7.18,No Junction,1303,2.7659247889485803,5,Tue,0.261703760552571,CAR,13.005707236823016,77.68581993923993,Deploy 2+ units Tues 5:00–7:00. Priority tow zone. Focus: CAR.,K.R. Pura — Road Segment
50,2,🔴 CRITICAL,7.16,BTP051 - Safina Plaza Junction,18695,2.271730409200321,5,Sun,0.4052955335651244,SCOOTER,12.981558435246344,77.60910060846768,Deploy 2+ units Suns 5:00–7:00. Priority tow zone. Focus: SCOOTER.,Safina Plaza Junction
51,337,🔴 CRITICAL,7.16,No Junction,203,4.275862068965517,20,Sat,0.3793103448275862,CAR,13.028928651037276,77.53972283145647,Deploy 2+ units Sats 20:00–22:00. Priority tow zone. Focus: CAR.,Yeshwanthpura — Road Segment
52,256,🔴 CRITICAL,7.15,"BTP094 - Sri Skanda Complex, Mysore Road",97,3.2731958762886597,22,Mon,0.1649484536082474,CAR,12.955739512371132,77.5460951742268,Deploy 2+ units Mons 22:00–24:00. Priority tow zone. Focus: CAR.,"Sri Skanda Complex, Mysore Road"
53,226,🔴 CRITICAL,7.14,BTP126 - Dairy Circle,138,3.072463768115942,22,Sat,0.3695652173913043,CAR,12.936554223913044,77.6059196673913,Deploy 2+ units Sats 22:00–24:00. Priority tow zone. Focus: CAR.,Dairy Circle
54,423,🔴 CRITICAL,7.13,BTP180 - Swagath Poornima Theatre,139,2.449640287769784,20,Tue,0.3669064748201439,TEMPO,12.96121301654676,77.58675334892087,Deploy 2+ units Tues 20:00–22:00. Priority tow zone. Focus: TEMPO.,Swagath Poornima Theatre
55,16,🔴 CRITICAL,7.12,No Junction,2309,4.361195322650498,3,Thu,0.2200086617583369,CAR,12.939198529631184,77.69653662461724,Deploy 2+ units Thus 3:00–5:00. Priority tow zone. Focus: CAR.,HAL Old Airport — Road Segment
56,51,🔴 CRITICAL,7.1,BTP126 - Dairy Circle,190,3.5657894736842106,1,Sat,0.3631578947368421,SCOOTER,12.93682762894737,77.60173891947369,Deploy 2+ units Sats 1:00–3:00. Priority tow zone. Focus: SCOOTER.,Dairy Circle
57,101,🔴 CRITICAL,7.08,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",294,2.5391156462585034,5,Wed,0.2482993197278911,CAR,12.97994888064784,77.55458038636904,Deploy 2+ units Weds 5:00–7:00. Priority tow zone. Focus: CAR.,"Basava Mantapa, Dr. Rajkumar Road"
58,222,🔴 CRITICAL,7.06,No Junction,643,3.1329704510108867,22,Mon,0.2939346811819596,CAR,12.97140396851725,77.71199811215577,Deploy 2+ units Mons 22:00–24:00. Priority tow zone. Focus: CAR.,HAL Old Airport — Road Segment
59,115,🔴 CRITICAL,7.06,No Junction,450,5.24,22,Thu,0.0955555555555555,MAXI-CAB,12.97913683234054,77.69512565455952,Deploy 2+ units Thus 22:00–24:00. Priority tow zone. Focus: MAXI-CAB.,Mahadevapura — Road Segment
60,84,🔴 CRITICAL,7.04,No Junction,109,4.486238532110092,7,Sun,0.4403669724770642,CAR,12.906885910118156,77.54607518433065,Deploy 2+ units Suns 7:00–9:00. Priority tow zone. Focus: CAR.,K.S. Layout — Road Segment
61,348,🔴 CRITICAL,7.03,No Junction,171,4.7894736842105265,5,Fri,0.1871345029239766,CAR,13.015297172930415,77.55513743564664,Deploy 2+ units Fris 5:00–7:00. Priority tow zone. Focus: CAR.,Malleshwaram — Road Segment
62,75,🔴 CRITICAL,7.02,"BTP070 - Cholurpalya Junction, Magadi Road",2767,2.2343693530899893,6,Mon,0.3108059269967473,SCOOTER,12.973615668124324,77.55106154434405,Deploy 2+ units Mons 6:00–8:00. Priority tow zone. Focus: SCOOTER.,"Cholurpalya Junction, Magadi Road"
63,217,🔴 CRITICAL,7.01,"BTP117 - 9th Cross, Kanakapura Road",96,2.5572916666666665,21,Sat,0.4270833333333333,SCOOTER,12.911335077083336,77.57309525833334,Deploy 2+ units Sats 21:00–23:00. Priority tow zone. Focus: SCOOTER.,"9th Cross, Kanakapura Road"
64,589,🟠 HIGH,6.97,BTP214 - 5th Main Chamrajpet  Junction,110,4.6,5,Tue,0.3909090909090909,SCOOTER,12.958021793636364,77.56735131272728,Deploy 1 unit Tues 5:00–7:00. Issue penalties. Focus: SCOOTER.,5th Main Chamrajpet  Junction
65,119,🟠 HIGH,6.95,No Junction,142,4.482394366197183,20,Fri,0.0774647887323943,MOTOR CYCLE,12.818434292957743,77.68920089788733,Deploy 1 unit Fris 20:00–22:00. Issue penalties. Focus: MOTOR CYCLE.,Electronic City — Road Segment
66,291,🟠 HIGH,6.93,No Junction,526,2.9020912547528517,6,Sat,0.344106463878327,SCOOTER,13.000025776996198,77.61105894676807,Deploy 1 unit Sats 6:00–8:00. Issue penalties. Focus: SCOOTER.,Pulikeshinagar(F.Town) — Road Segment
67,687,🟠 HIGH,6.92,"BTP127 - Sagar Hospital, Jayanagar",41,9.353658536585366,22,Fri,0.1707317073170731,CAR,12.926975873170733,77.59704115853658,Deploy 1 unit Fris 22:00–24:00. Issue penalties. Focus: CAR.,"Sagar Hospital, Jayanagar"
68,323,🟠 HIGH,6.92,No Junction,341,3.398826979472141,4,Mon,0.1788856304985337,SCOOTER,12.840662598172491,77.67678090771253,Deploy 1 unit Mons 4:00–6:00. Issue penalties. Focus: SCOOTER.,Electronic City — Road Segment
69,55,🟠 HIGH,6.92,No Junction,822,2.4610705596107056,9,Mon,0.3017031630170316,SCOOTER,12.993667412287104,77.6626508796837,Deploy 1 unit Mons 9:00–11:00. Issue penalties. Focus: SCOOTER.,Banaswadi — Road Segment
70,91,🟠 HIGH,6.91,No Junction,625,3.1336,21,Wed,0.2384,SCOOTER,12.96439433296,77.55489120864,Deploy 1 unit Weds 21:00–23:00. Issue penalties. Focus: SCOOTER.,Magadi Road — Road Segment
71,205,🟠 HIGH,6.91,No Junction,147,2.707482993197279,7,Mon,0.3945578231292517,SCOOTER,13.022494129013008,77.63795700911767,Deploy 1 unit Mons 7:00–9:00. Issue penalties. Focus: SCOOTER.,Banaswadi — Road Segment
72,162,🟠 HIGH,6.89,No Junction,515,3.2514563106796115,3,Sat,0.3728155339805825,MOTOR CYCLE,13.030656366762765,77.53633979950183,Deploy 1 unit Sats 3:00–5:00. Issue penalties. Focus: MOTOR CYCLE.,Yeshwanthpura — Road Segment
73,150,🟠 HIGH,6.85,BTP207 - 8th Main Road Basaveshwara Nagar,168,2.431547619047619,5,Fri,0.238095238095238,CAR,12.991840556547618,77.53841092619048,Deploy 1 unit Fris 5:00–7:00. Issue penalties. Focus: CAR.,8th Main Road Basaveshwara Nagar
74,172,🟠 HIGH,6.84,No Junction,137,2.791970802919708,7,Tue,0.2992700729927007,CAR,13.058286945879717,77.591531198288,Deploy 1 unit Tues 7:00–9:00. Issue penalties. Focus: CAR.,Kodigehalli — Road Segment
75,434,🟠 HIGH,6.83,BTP074 - Leprosy Hospital Junction,47,2.925531914893617,20,Sat,0.4893617021276595,SCOOTER,12.974203763829786,77.56624664468086,Deploy 1 unit Sats 20:00–22:00. Issue penalties. Focus: SCOOTER.,Leprosy Hospital Junction
76,160,🟠 HIGH,6.82,No Junction,394,2.6434010152284264,7,Fri,0.2309644670050761,SCOOTER,12.87050192832764,77.65455591264092,Deploy 1 unit Fris 7:00–9:00. Issue penalties. Focus: SCOOTER.,Electronic City — Road Segment
77,10,🟠 HIGH,6.81,No Junction,9250,3.228594594594594,22,Wed,0.087027027027027,SCOOTER,12.933166445279118,77.69001657925574,Deploy 1 unit Weds 22:00–24:00. Issue penalties. Focus: SCOOTER.,HAL Old Airport — Road Segment
78,431,🟠 HIGH,6.81,No Junction,184,5.095108695652174,23,Tue,0.0543478260869565,CAR,12.927061289050052,77.69483485443422,Deploy 1 unit Tues 23:00–25:00. Issue penalties. Focus: CAR.,Bellandur — Road Segment
79,111,🟠 HIGH,6.8,No Junction,373,3.764075067024129,5,Mon,0.2466487935656836,CAR,13.007965879892762,77.52674327426273,Deploy 1 unit Mons 5:00–7:00. Issue penalties. Focus: CAR.,Rajajinagar — Road Segment
80,3,🟠 HIGH,6.79,No Junction,862,2.4129930394431556,7,Sat,0.308584686774942,SCOOTER,12.995898332598609,77.61378794118329,Deploy 1 unit Sats 7:00–9:00. Issue penalties. Focus: SCOOTER.,Pulikeshinagar(F.Town) — Road Segment
81,7,🟠 HIGH,6.79,No Junction,206,3.3179611650485437,6,Tue,0.1650485436893204,CAR,12.994618270388347,77.61544200728156,Deploy 1 unit Tues 6:00–8:00. Issue penalties. Focus: CAR.,Pulikeshinagar(F.Town) — Road Segment
82,181,🟠 HIGH,6.78,BTP167 - JC Road Junction,224,2.408482142857143,2,Fri,0.2678571428571428,SCOOTER,12.957955521428572,77.58182559955357,Deploy 1 unit Fris 2:00–4:00. Issue penalties. Focus: SCOOTER.,JC Road Junction
83,298,🟠 HIGH,6.78,No Junction,87,4.971264367816092,5,Fri,0.2758620689655172,CAR,12.909656083995646,77.55010167321035,Deploy 1 unit Fris 5:00–7:00. Issue penalties. Focus: CAR.,K.S. Layout — Road Segment
84,179,🟠 HIGH,6.78,No Junction,720,3.548611111111111,22,Tue,0.0347222222222222,PASSENGER AUTO,12.936293905635903,77.6923795833133,Deploy 1 unit Tues 22:00–24:00. Issue penalties. Focus: PASSENGER AUTO.,HAL Old Airport — Road Segment
85,171,🟠 HIGH,6.75,BTP028 - Vijayanagar Bus Stand Junction,831,2.209987966305656,4,Thu,0.2623345367027677,SCOOTER,12.972224361211667,77.53781395938286,Deploy 1 unit Thus 4:00–6:00. Issue penalties. Focus: SCOOTER.,Vijayanagar Bus Stand Junction
86,76,🟠 HIGH,6.75,No Junction,139,4.841726618705036,21,Tue,0.1079136690647482,MAXI-CAB,12.926669330935251,77.60895103741008,Deploy 1 unit Tues 21:00–23:00. Issue penalties. Focus: MAXI-CAB.,Mico Layout — Road Segment
87,30,🟠 HIGH,6.74,"BTP016 - 5th Main Road, RPC Layout",3689,2.197072377338032,5,Sat,0.3494171862293304,SCOOTER,12.966062803544334,77.53772806020386,Deploy 1 unit Sats 5:00–7:00. Issue penalties. Focus: SCOOTER.,"5th Main Road, RPC Layout"
88,327,🟠 HIGH,6.73,No Junction,278,3.028776978417266,6,Sun,0.3920863309352518,PASSENGER AUTO,13.04002144208633,77.51859118093526,Deploy 1 unit Suns 6:00–8:00. Issue penalties. Focus: PASSENGER AUTO.,Peenya — Road Segment
89,27,🟠 HIGH,6.72,No Junction,1769,2.7543810062182024,5,Fri,0.3007348784624081,SCOOTER,12.95779126381198,77.70159372289955,Deploy 1 unit Fris 5:00–7:00. Issue penalties. Focus: SCOOTER.,HAL Old Airport — Road Segment
90,388,🟠 HIGH,6.71,BTP167 - JC Road Junction,42,2.619047619047619,20,Sat,0.3571428571428571,PASSENGER AUTO,12.960405383333333,77.57992357142857,Deploy 1 unit Sats 20:00–22:00. Issue penalties. Focus: PASSENGER AUTO.,JC Road Junction
91,258,🟠 HIGH,6.7,No Junction,208,3.7475961538461537,6,Tue,0.3317307692307692,CAR,13.045835333653846,77.75033385673076,Deploy 1 unit Tues 6:00–8:00. Issue penalties. Focus: CAR.,K.R. Pura — Road Segment
92,480,🟠 HIGH,6.7,No Junction,47,4.468085106382978,19,Sat,0.3404255319148936,PASSENGER AUTO,13.018973489361702,77.55335202553192,Deploy 1 unit Sats 19:00–21:00. Issue penalties. Focus: PASSENGER AUTO.,Yeshwanthpura — Road Segment
93,151,🟠 HIGH,6.69,No Junction,276,4.105072463768116,22,Tue,0.3043478260869565,SCOOTER,13.0338768389333,77.55783476877741,Deploy 1 unit Tues 22:00–24:00. Issue penalties. Focus: SCOOTER.,Yeshwanthpura — Road Segment
94,80,🟠 HIGH,6.67,"BTP024 - NPS, Vijayanagar",530,2.250943396226415,1,Sun,0.4566037735849056,CAR,12.982515486226417,77.54896199849057,Deploy 1 unit Suns 1:00–3:00. Issue penalties. Focus: CAR.,"NPS, Vijayanagar"
95,475,🟠 HIGH,6.67,No Junction,84,2.9642857142857144,19,Tue,0.1666666666666666,MOTOR CYCLE,13.144218675,77.61785262142857,Deploy 1 unit Tues 19:00–21:00. Issue penalties. Focus: MOTOR CYCLE.,Chikkajala — Road Segment
96,71,🟠 HIGH,6.66,No Junction,596,2.9916107382550337,6,Wed,0.2348993288590604,CAR,13.01797126342282,77.53159667567114,Deploy 1 unit Weds 6:00–8:00. Issue penalties. Focus: CAR.,Rajajinagar — Road Segment
97,146,🟠 HIGH,6.65,No Junction,452,2.5553097345132745,6,Sun,0.336283185840708,CAR,12.960960662168144,77.51170086725664,Deploy 1 unit Suns 6:00–8:00. Issue penalties. Focus: CAR.,Jnanabharathi — Road Segment
98,138,🟠 HIGH,6.65,"BTP168 - MSR Building, JC Road",88,2.488636363636364,6,Sat,0.3181818181818182,SCOOTER,12.961146992045457,77.58385787045455,Deploy 1 unit Sats 6:00–8:00. Issue penalties. Focus: SCOOTER.,"MSR Building, JC Road"
99,199,🟠 HIGH,6.64,No Junction,457,2.647702407002188,21,Tue,0.2297592997811816,CAR,13.050007488840262,77.59311085536105,Deploy 1 unit Tues 21:00–23:00. Issue penalties. Focus: CAR.,Kodigehalli — Road Segment
100,277,🟠 HIGH,6.64,"BTP186 - 9th Cross, 4th Main, Jayanagar",395,2.2,21,Sun,0.5164556962025316,SCOOTER,12.939414986329115,77.58399073392405,Deploy 1 unit Suns 21:00–23:00. Issue penalties. Focus: SCOOTER.,"9th Cross, 4th Main, Jayanagar"
101,574,🟠 HIGH,6.64,No Junction,118,5.046610169491525,21,Fri,0.3644067796610169,CAR,12.968528748614498,77.64989446949056,Deploy 1 unit Fris 21:00–23:00. Issue penalties. Focus: CAR.,Jeevanbheemanagar — Road Segment
102,496,🟠 HIGH,6.64,No Junction,71,5.788732394366197,5,Mon,0.2676056338028169,CAR,13.048919969014085,77.49699119765259,Deploy 1 unit Mons 5:00–7:00. Issue penalties. Focus: CAR.,Chikkabanavara — Road Segment
103,182,🟠 HIGH,6.63,BTP030 - Mekhri Circle,49,2.938775510204082,6,Sun,0.3673469387755102,CAR,13.011020938775513,77.58360971632654,Deploy 1 unit Suns 6:00–8:00. Issue penalties. Focus: CAR.,Mekhri Circle
104,225,🟠 HIGH,6.61,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",149,2.5604026845637584,23,Thu,0.2013422818791946,CAR,12.917375997315435,77.57795471275168,Deploy 1 unit Thus 23:00–25:00. Issue penalties. Focus: CAR.,"Rajalakshmi Kalyana Mantapa, JP Nagar"
105,726,🟠 HIGH,6.6,No Junction,72,4.916666666666667,2,Mon,0.3888888888888889,CAR,12.950498795833331,77.52209597777778,Deploy 1 unit Mons 2:00–4:00. Issue penalties. Focus: CAR.,Byatarayanapura — Road Segment
